user_id,artist_id,scrobbles
1,4562,13883
1,10191,11690
1,494,11351
1,6673,10300
1,8402,8983
1,3560,6152
1,15398,5955
1,6036,4616
1,10624,4337
1,9618,4147
1,14062,3923
1,11731,3782
1,4950,3735
1,12486,3644
1,3272,3579
1,5206,3312
1,9226,3301
1,6854,2927
1,12591,2720
1,10075,2686
1,4127,2654
1,3992,2619
1,2562,2584
1,1622,2547
1,2606,2397
1,4785,2382
1,5855,2120
1,14270,2119
1,5337,1990
1,6188,1972
1,11707,1948
1,9392,1868
1,3238,1792
1,3513,1740
1,13548,1638
1,8007,1594
1,3828,1559
1,6068,1553
1,8460,1519
1,8309,1471
1,10701,1438
1,16240,1411
1,7335,1407
1,10000,1373
1,13191,1363
1,5436,1342
1,4547,1337
1,7263,1332
1,7044,1330
1,263,1315
2,11634,13176
2,12897,662
2,9660,493
2,2799,431
2,11600,403
2,11637,354
2,2503,269
2,9261,236
2,942,215
2,3818,215
2,11635,212
2,6001,193
2,4571,187
2,10945,167
2,10534,163
2,5423,154
2,11636,151
2,1917,142
2,13606,142
2,4016,125
2,9107,111
2,9350,108
2,3668,104
2,13081,99
2,1296,98
2,14974,94
2,10939,89
2,13806,89
2,607,86
2,11514,85
2,11264,84
2,3861,83
2,8531,83
2,1844,77
2,3261,77
2,16141,76
2,16546,75
2,8719,72
2,12242,72
2,9616,71
2,484,70
2,3568,70
2,16680,70
2,3577,69
2,12549,68
2,6618,67
2,13946,67
2,14390,66
2,15194,66
2,11711,65
3,3992,4983
3,3906,1807
3,11694,1208
3,3827,903
3,11950,826
3,12322,777
3,16108,743
3,9867,732
3,17207,729
3,14522,724
3,17202,712
3,494,686
3,4959,632
3,6015,524
3,11569,465
3,17206,455
3,11610,446
3,14505,445
3,12486,420
3,12807,407
3,17205,404
3,5855,396
3,10075,389
3,17203,384
3,9829,366
3,13712,359
3,5778,309
3,3272,301
3,11602,292
3,6985,287
3,3940,285
3,12372,284
3,12813,284
3,4355,279
3,15632,264
3,12471,256
3,11244,255
3,8045,254
3,7229,253
3,7204,247
3,12080,240
3,2009,236
3,4562,228
3,224,223
3,11042,221
3,11654,210
3,10333,208
3,11025,202
3,4847,197
3,14125,193
4,11950,884
4,10333,826
4,15262,777
4,2370,673
4,1710,620
4,15617,452
4,14010,451
4,1155,374
4,6026,337
4,17014,304
4,2573,298
4,2125,287
4,3593,283
4,919,275
4,1687,265
4,1174,259
4,1519,255
4,10366,252
4,11602,241
4,2067,229
4,8045,222
4,14549,222
4,2141,210
4,7170,209
4,4076,207
4,7345,196
4,13549,192
4,3874,185
4,9330,184
4,494,181
4,9176,178
4,12103,170
4,10089,161
4,15738,161
4,1569,149
4,16673,143
4,7033,142
4,11899,139
4,8209,138
4,14340,138
4,14818,138
4,6145,137
4,4059,134
4,13899,133
4,10728,130
4,4700,129
4,10735,129
4,3161,127
4,15430,118
4,9587,115
5,8120,41
5,11937,41
5,15639,40
5,4843,37
5,14225,34
5,5424,33
5,385,31
5,2146,31
5,9667,27
5,11499,26
5,2145,24
5,3310,24
5,14078,24
5,16438,24
5,2444,23
5,8900,20
5,10417,20
5,8136,19
5,180,18
5,5455,18
5,9456,18
5,9496,18
5,15547,18
5,2807,17
5,7449,17
5,9567,17
5,12711,17
5,4516,16
5,5030,16
5,5855,16
5,9438,16
5,10469,16
5,12240,16
5,1426,15
5,2140,15
5,5202,15
5,10218,15
5,98,14
5,857,14
5,979,14
5,2250,14
5,2315,14
5,3862,14
5,5771,14
5,11229,14
5,12648,14
5,4168,13
5,7255,13
5,10131,13
5,11476,13
6,12276,43864
6,2381,11112
6,7707,6266
6,8460,5846
6,8069,5379
6,9456,5188
6,3068,4201
6,1283,4059
6,8647,3251
6,8402,3151
6,1820,2852
6,9226,2540
6,13856,2356
6,3757,1848
6,8760,1802
6,7375,1780
6,8014,1747
6,676,1553
6,11162,1490
6,11210,1426
6,3745,1312
6,7997,1169
6,1974,1164
6,7994,1162
6,7977,1082
6,3656,1027
6,10572,962
6,10496,960
6,2742,926
6,726,900
6,3102,868
6,9631,834
6,564,809
6,8097,773
6,6602,753
6,6309,741
6,5318,719
6,7676,674
6,1276,667
6,15142,646
6,3234,605
6,1285,599
6,7653,593
6,3019,587
6,3771,571
6,7859,534
6,14021,527
6,7923,516
6,8072,510
6,1440,498
7,10750,6291
7,12682,2396
7,2381,2258
7,16088,1735
7,1820,1425
7,637,1407
7,13856,1039
7,11900,963
7,8460,921
7,5190,819
7,2939,800
7,1592,794
7,3068,783
7,3262,753
7,8760,613
7,1041,588
7,2807,581
7,15142,578
7,14117,553
7,10431,527
7,8628,520
7,2736,505
7,16496,504
7,10149,494
7,15066,494
7,9456,479
7,5743,456
7,11162,432
7,12276,428
7,2945,417
7,8069,402
7,9974,400
7,12716,389
7,7288,361
7,4547,354
7,10496,353
7,2294,350
7,8014,347
7,13156,345
7,4259,280
7,9447,277
7,13028,257
7,7373,253
7,16438,235
7,192,229
7,9081,185
7,4127,181
7,13862,178
7,3075,177
7,7150,173
8,1840,2396
8,17217,1444
8,99,1158
8,7982,1113
8,13259,1103
8,17307,1069
8,7308,729
8,17364,708
8,17434,630
8,16039,629
8,8785,609
8,5089,590
8,4193,587
8,17318,558
8,2017,556
8,2545,556
8,2459,533
8,1541,521
8,5199,510
8,14023,467
8,2721,465
8,15742,430
8,1496,411
8,4979,403
8,5746,381
8,13196,367
8,12143,364
8,13903,357
8,17370,345
8,10635,319
8,8415,307
8,17481,307
8,17378,292
8,96,290
8,12159,289
8,115,280
8,14284,273
8,17229,273
8,15081,267
8,6782,260
8,520,249
8,3455,249
8,5723,242
8,5821,241
8,2996,237
8,2056,236
8,430,234
8,16344,229
8,8475,228
9,14960,3132
9,3365,1584
9,1155,1386
9,7033,1297
9,1710,1137
9,13152,1056
9,15597,1029
9,14819,1023
9,14818,992
9,10256,956
9,10122,878
9,1632,845
9,15221,797
9,3874,761
9,16658,729
9,12284,603
9,14512,583
9,14855,578
9,15184,573
9,7991,560
9,16524,546
9,8252,527
9,2399,483
9,13595,455
9,1983,367
9,15182,317
9,13053,315
9,1519,310
9,10888,308
9,6026,306
9,8961,291
9,8209,279
9,996,247
9,7756,238
9,15245,235
9,15076,229
9,14522,225
9,10311,208
9,2187,204
9,11925,199
9,9176,189
9,9373,189
9,1227,178
9,11679,177
9,11950,177
9,13055,173
9,8885,169
9,10317,165
9,13173,161
9,7697,157
10,1530,4416
10,2381,3851
10,8460,3384
10,7415,1951
10,247,1788
10,7855,1708
10,28,1567
10,10792,1531
10,9958,1500
10,2100,1318
10,12748,1235
10,117,1117
10,3745,1031
10,9867,1007
10,7422,1006
10,8042,956
10,3709,793
10,12276,749
10,16033,719
10,3068,555
10,7859,553
10,10652,552
10,10610,548
10,9825,537
10,1820,521
10,102,514
10,4492,441
10,3420,425
10,4893,424
10,10735,370
10,8014,347
10,15066,341
10,3019,337
10,9174,337
10,3643,336
10,6145,329
10,16911,329
10,16401,321
10,6222,314
10,676,306
10,1285,298
10,13190,293
10,8647,264
10,7391,251
10,1974,249
10,2821,247
10,10530,244
10,14117,243
10,8065,238
10,9226,229
11,8785,59695
11,5089,31617
11,108,24097
11,1440,23961
11,14363,7867
11,15452,7425
11,8769,7399
11,14117,5489
11,12894,4527
11,11025,4259
11,5527,3837
11,5699,3823
11,8989,3727
11,5372,3648
11,15408,3526
11,3265,3407
11,11228,3226
11,11248,3134
11,5483,3080
11,12276,3072
11,11654,2976
11,2492,2471
11,974,2378
11,8470,2303
11,3992,2144
11,6145,2110
11,6953,1714
11,6612,1646
11,520,1600
11,4161,1596
11,885,1591
11,12703,1547
11,15699,1495
11,8042,1485
11,11591,1434
11,11165,1341
11,15916,1278
11,3924,1260
11,15706,1250
11,6910,1227
11,3157,1222
11,2809,1183
11,8304,1177
11,8014,1064
11,15081,1034
11,16511,1001
11,13668,982
11,5476,953
11,6369,939
11,8455,927
12,8460,3967
12,1440,38
12,10572,17
12,8760,16
12,3771,12
12,8777,10
12,9226,9
12,11162,9
12,7353,8
12,6262,6
12,8209,6
12,8402,6
12,8440,6
12,11248,6
12,11602,6
12,564,4
12,3068,4
12,7375,4
12,8042,4
12,8752,4
12,11594,4
12,743,3
12,1285,3
12,8829,3
12,9958,3
12,11343,3
12,14042,3
12,15066,3
12,351,2
12,1820,2
12,2945,2
12,4834,2
12,5089,2
12,5219,2
12,5453,2
12,6047,2
12,6073,2
12,6602,2
12,8014,2
12,8138,2
12,9530,2
12,10681,2
12,10752,2
12,10902,2
12,11592,2
12,13497,2
12,13541,2
12,14117,2
12,15264,2
12,15299,2
13,15189,1259
13,14661,908
13,15140,850
13,14330,849
13,15205,843
13,14825,834
13,15240,831
13,15222,812
13,14688,809
13,14889,772
13,13535,768
13,15352,765
13,15293,724
13,15347,710
13,13355,706
13,9267,676
13,6726,674
13,7162,671
13,12641,670
13,15319,665
13,11115,656
13,8838,655
13,8554,654
13,12048,653
13,14556,653
13,1854,650
13,1181,648
13,9563,646
13,12524,645
13,7207,638
13,1857,635
13,4841,634
13,10295,634
13,13483,633
13,7584,632
13,14789,632
13,3094,631
13,11783,627
13,13224,621
13,908,619
13,1852,619
13,9002,618
13,2882,612
13,4954,610
13,12151,610
13,15056,609
13,15266,607
13,14933,602
13,14609,601
13,14728,601
14,3753,1141
14,8567,835
14,11950,751
14,14340,747
14,15916,740
14,15617,599
14,11761,557
14,7060,546
14,1123,484
14,8208,484
14,919,477
14,1669,470
14,7716,466
14,10728,464
14,7440,443
14,15672,412
14,10656,407
14,9955,404
14,15149,404
14,14064,380
14,7569,373
14,15184,366
14,2125,352
14,11372,351
14,4839,350
14,13613,346
14,15118,341
14,1726,340
14,217,337
14,11845,328
14,14281,306
14,13854,302
14,14522,297
14,3205,295
14,6137,294
14,15376,279
14,228,261
14,12613,258
14,929,255
14,7345,253
14,10935,251
14,5030,247
14,9330,246
14,2141,242
14,12591,242
14,10089,235
14,10560,230
14,4719,226
14,5141,226
14,11080,223
15,16852,889
15,8460,849
15,14143,750
15,7115,617
15,6494,502
15,7908,487
15,4959,459
15,9953,457
15,16848,392
15,8538,391
15,1583,389
15,10709,367
15,7006,366
15,13670,311
15,12068,308
15,4792,307
15,1097,292
15,8628,264
15,3549,257
15,5921,251
15,8829,251
15,5708,250
15,6285,231
15,16346,228
15,7431,217
15,11026,217
15,9592,214
15,11226,209
15,5468,195
15,5028,190
15,4171,174
15,13807,167
15,14082,166
15,12619,165
15,2721,154
15,7961,153
15,5896,150
15,2867,149
15,5124,148
15,5005,147
15,9344,147
15,12600,146
15,698,144
15,3973,144
15,3085,143
15,3678,141
15,4034,141
15,8311,139
15,16693,139
15,13522,137
16,5960,14436
16,14117,1804
16,11248,1544
16,4834,1446
16,8460,1255
16,8014,1089
16,9958,984
16,8042,925
16,15314,891
16,3957,879
16,8737,651
16,14818,610
16,7598,474
16,811,462
16,351,426
16,10658,381
16,12911,373
16,714,370
16,6668,338
16,11594,321
16,3234,306
16,9226,303
16,5463,270
16,117,266
16,9477,243
16,3560,242
16,1285,219
16,8760,215
16,11146,208
16,10063,190
16,6569,188
16,9530,188
16,3707,187
16,11863,172
16,15028,170
16,13120,168
16,4557,146
16,1974,144
16,12276,129
16,5040,121
16,6145,120
16,2381,118
16,2272,116
16,13019,115
16,3068,110
16,5053,109
16,15361,107
16,15055,105
16,8440,104
16,14284,101
17,4948,2187
17,301,853
17,9817,838
17,2644,682
17,15343,660
17,1981,646
17,14340,630
17,12103,623
17,9508,603
17,10902,576
17,10333,544
