artist_id,artist_name
1,__Max__
2,_Algol_
3,-123 Min.
4,-Oz-
5,-T De Sangre
6,:(
7,:Wumpscut:
8,!!!
9,!Deladap
10,!Distain
11,¡Forward
12,...And The Earth Swarmed With Them
13,...And You Will Know Us By The Trail Of Dead
14,.38 Special
15,.Crrust
16,“V–Е
17,(1962-1966)
18,(Hed) Planet Earth
19,(Pre) Kingdom
20,(Sic)Monic
21,(We Are) Performance
22,[:Sitd:]
23,[Br]Om
24,[Re:Jazz]
25,[Spunge]
26,{{{Sunset}}}
27,{F.B.R}
28,*Nsync
29,\Eminem F_ Rihanna
30,#####
31,#2 Orchestra
32,†‡†
33,℃-Ute
34,+\-
35,$Lick
36,$Lick Feat. Six-Fo
37,06 Children Of The Cross
38,1-800-Zombie
39,10 Years
40,10-20 Без Выходных
41,100 Bitches
42,1000names
43,100blumen
44,100dbs
45,100deadrabbits!!!
46,10cc
47,11.43
48,110
49,112
50,1125
51,12 Rounds
52,12 Stones
53,120 Days
54,1200 Micrograms
55,12012
56,127 Band
57,129- Fly Project & Tom Boxer & Anca Parghel
58,12th Planet
59,13
60,1349
61,13th Floor Elevators
62,14 Bis
63,14 Year Old Girls
64,16 Horsepower
65,16bit
66,16volt
67,18th Dye
68,19
69,1910 Fruitgum Company
70,1974 Ad
71,1990s
72,1994!
73,1997
74,¹Ì³ª
75,1sagain
76,2 0' Clock Girlfriend
77,2 Brothers On The 4th Floor
78,2 Many Dj's
79,2 Skinnee J's
80,2 Times Terror
81,2 Unlimited
82,2 Гига Любви
83,2002
84,2009 Broadway Revival Cast
85,2009 Names In Vain
86,21 Hertz
87,213
88,25 Lat Listy Przebojów Trójki
89,2562
90,2am
91,2am Club
92,2face Idibia
93,2gether
94,2h Company
95,2nd Ii None
96,2ne1
97,2ois
98,2pac
99,2pm
100,2up
101,3
102,3 Doors Down
103,3 Dueños
104,3 Inches Of Blood
105,3 Na Massa
106,3 Segundos Antes Da Queda
107,3-11 Porter
108,30 Seconds To Mars
109,311
110,32crash
111,33miles
112,36 Crazyfists
113,38th Parallel
114,3d
115,3mmey
116,3moonboys
117,3oh!3
118,3rd Bass
119,3tops
